startImage,endImage,AB,PracticeTrialsLoop.thisRepN,PracticeTrialsLoop.thisTrialN,PracticeTrialsLoop.thisN,PracticeTrialsLoop.thisIndex,TestTrialsLoop.thisRepN,TestTrialsLoop.thisTrialN,TestTrialsLoop.thisN,TestTrialsLoop.thisIndex,WelcomeText.started,WelcomeText.stopped,DepressionQuestionnaire.index,DepressionQuestionnaire.itemText,DepressionQuestionnaire.type,DepressionQuestionnaire.response,DepressionQuestionnaire.rt,button.started,button.stopped,button.numClicks,button.timesOn,button.timesOff,instructionsText.started,instructionsText.stopped,nextScreen.keys,nextScreen.rt,nextScreen.started,nextScreen.stopped,hasPeriphery.started,hasPeriphery.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,noPeriphery.started,noPeriphery.stopped,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,11.3304049000144,None,Sadness,test,choice,None,None,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jul_09_1254,UniformityIllusion,2021.1.4,60.23983888693841,
,,,,,,,,,,,,,,,,,,13.395923800009768,None,1,[4.533076699997764],[4.53308150000521],17.895352000021376,None,space,1.7363596000068355,17.895352000021376,None,,,,,,,,,,,,001,2021_Jul_09_1254,UniformityIllusion,2021.1.4,60.23983888693841,
C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\3start.png,C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\3a.png,a,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,19.845390800008317,None,space,1.098326100007398,19.845390800008317,None,19.845390800008317,None,19.845390800008317,None,,001,2021_Jul_09_1254,UniformityIllusion,2021.1.4,60.23983888693841,
C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\3start.png,C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\3b.png,b,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,21.227667099999962,None,space,0.46901890001026914,21.227667099999962,None,21.227667099999962,None,21.227667099999962,None,,001,2021_Jul_09_1254,UniformityIllusion,2021.1.4,60.23983888693841,
C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\2start.png,C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\2a.png,a,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,22.010883600014495,None,space,0.6211014000000432,22.010883600014495,None,22.010883600014495,None,22.010883600014495,None,,001,2021_Jul_09_1254,UniformityIllusion,2021.1.4,60.23983888693841,
C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\2start.png,C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\2b.png,b,0,3,3,1,,,,,,,,,,,,,,,,,,,,,,,22.877980100020068,None,space,0.3218573999765795,22.877980100020068,None,22.877980100020068,None,22.877980100020068,None,,001,2021_Jul_09_1254,UniformityIllusion,2021.1.4,60.23983888693841,
C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\1start.png,C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\1b.png,b,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jul_09_1254,UniformityIllusion,2021.1.4,60.23983888693841,
C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\1start.png,C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\1a.png,a,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jul_09_1254,UniformityIllusion,2021.1.4,60.23983888693841,
C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\2start.png,C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\2a.png,a,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jul_09_1254,UniformityIllusion,2021.1.4,60.23983888693841,
C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\3start.png,C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\3b.png,b,,,,,0,3,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jul_09_1254,UniformityIllusion,2021.1.4,60.23983888693841,
